CATEGORY	TIME	INDICATOR	SOURCE	DESCRIPTION	UNIT	MAP	GRAPH	DATA	OPTIONS	ID	AFG	ALB	DZA	AND	AGO	AIA	ATG	ARG	ARM	ABW	AUS	AUT	AZE	BHS	BHR	BGD	BRB	BLR	BEL	BLZ	BEN	BMU	BTN	BOL	BIH	BWA	BRA	VGB	BRN	BGR	BFA	BDI	KHM	CMR	CAN	CPV	CYM	CAF	TCD	CHL	CHN	COL	COM	COG	COK	CRI	CIV	HRV	CUB	CYP	CZE	PRK	COD	DNK	DJI	DMA	DOM	ECU	EGY	SLV	GNQ	ERI	EST	ETH	FJI	FIN	FRA	GAB	GMB	GEO	DEU	GHA	GIB	GRC	GRD	GTM	GIN	GNB	GUY	HTI	VAT	HND	HKG	HUN	ISL	IND	IDN	IRN	IRQ	IRL	ISR	ITA	JAM	JPN	JOR	KAZ	KEN	KIR	KWT	KGZ	LAO	LVA	LBN	LSO	LBR	LBY	LIE	LTU	LUX	MAC	MDG	MWI	MYS	MDV	MLI	MLT	MHL	MRT	MUS	MEX	FSM	MCO	MNG	MNE	MSR	MAR	MOZ	MMR	NAM	NRU	NPL	NLD	ANT	NZL	NIC	NER	NGA	NIU	NOR	OMN	PAK	PLW	PSE	PAN	PNG	PRY	PER	PHL	POL	PRT	QAT	KOR	MDA	ROU	RUS	RWA	KNA	LCA	VCT	WSM	SMR	STP	SAU	SEN	SRB	SYC	SLE	SGP	SVK	SVN	SLB	SOM	ZAF	ESP	LKA	SDN	SUR	SWZ	SWE	CHE	SYR	TJK	THA	MKD	TLS	TGO	TKL	TON	TTO	TUN	TUR	TKM	TCA	TUV	UGA	UKR	ARE	GBR	TZA	USA	URY	UZB	VUT	VEN	VNM	YEM	ZMB	ZWE	GUF	ESH	TWN	GRL	EAZ	SJM	PRI	IMN	JEY	GGY	VIR	KOS	SSD	FrenchPolynesia	Guadeloupe	Guam	Martinique	Mayotte	NewCaledonia	Reunion	HongKong	ChannelIslands	FaeroeIslands	FalklandIslands	NorthernMarianaIslands	Pitcairn	SaintHelena	SaintPierreandMiquelon	WallisandFutunaIslands	WestBankandGaza
		 Mobile cellular subscriptions (per 100 people)									0	0.33	0.23	32.15	0.18		11.18	10.54	0.26	13.48	33.19	53.08	4.6	5.42	20.82	0.11	7.63	0.23	31.11	2.84	0.11	20.46	0	5.05	1.4	5.33	8.74		20.34	4.34	0.04	0.01	0.75	0.04	22.72	1.86	21.13	0.12	0	14.81	3.4	5.01	0	0.16		3.6	1.63	6.54	0.05	16.39	18.93	0	0.03	49.41	0.04	1.14	4.98	3.12	0.74	8.63	0.12	0	28.13	0.01	2.9	63.38	36.39	0.74	0.44	2.77	28.08	0.38		35.66	1.98	3.09	0.29	0	0.38	0.3		1.29	63.5	15.88	62.01	0.18	1.08	0.76	0	44.71	48.89	53.27	5.64	45.3	2.52	0.34	0.08	0.25	16.5	0.05	0.23	11.46	19.86	0.65	0	0.59	27.54	9.4	48.51	27.76	0.23	0.2	13.06	1.09	0.06	9.25	0.85	0	8.68	7.56	0	41.14	1.45			1.3	0.07	0.02	1.62		0.02	42.77		36.54	0.88	0.02	0.02		59.64	5.57	0.19			7.78	0.13	8.31	3.96	3.75	10.31	45.52	14.75	51.25	0.43	6.03	0.93	0.14	1.56	1.48	1.32	1.4	36.02	0	4.26	0.91		20.73	0	42.66	12.33	31.74	0.27	0	11.74	37.56	1.37	0.04	3.8	1.34	57.83	42.84	0.03	0.01	3.8	2.4		0.36		0.14	3.06	0.58	13.05	0.09		0	0.24	0.44	28.76	46.28	0.15	30.58	9.64	0.16	0.17	15.81	0.41	0.16	0.29	1.4				24.12			21.49				27.67																			
		 Fixed telephone subscriptions (per 100 people)									0.15	4.23	5.12	52.44	0.5		48	19.78	17.59	41.07	51.29	49.19	9.07	37.89	25.8	0.33	43.2	26.29	48.9	15.58	0.65	87.81	2.19	6.04	9.81	7.18	14.53		24.37	35.13	0.42	0.29	0.23	0.61	67	10.79	79.15	0.28	0.12	20.36	8.54	16.99	1.27	0.72		20.89	1.39	36.21	3.91	45.82	37.06	2.21	0.02	68.39	1.24	30.52	9.69	9.19	7.2	8.35	1.15	0.72	37.47	0.3	10.1	55.19	57.54	3.18	2.45	13.98	57.74	0.87		51.25	29.01	5.58	0.24	0.49	8.64	0.83		4.57	57.46	36.34	66.45	2.59	2.95	12.91	2.92	46.31	48.85	46.6	19.05	49.45	12.03	11.99	0.95	3.79	25.06	7.57	0.66	30.55	18.09	1.17	0.24	10.8	60.48	32.64	58.33	41.94	0.33	0.38	19.35	8.29	0.34	48.74	7.45	0.63	21.86	10.68	9.15	93.69	4.35			5.18	0.44	0.52	5.83		1.12	60.95		48.03	2.99	0.18	0.39		54.76	10.14	2.04		7.17	15.45	1.14	5.12	6.59	3.8	26.5	41.21	27.07	56.01	13.32	16.63	21.01	0.16	44.64	28.67	21.91	4.89	74.84	3.29	13.79	1.72		24.94	0.45	49.09	30.73	38.08	2.03	0.34	12.43	41.26	3.58	0.75	15.39	2.99	68.74	70.98	10	3.49	8.46	23.15		0.81		9.34	22.05	9	28.78	8.07		6.72	0.24	20.35	33.7	57.92	0.45	67.34	27.1	6.52	3.03	10.65	2.63	1.67	0.84	1.93				45.7			34.19				62																			
		 Internet users (per 100 people)										0.08	0.2	7.64	0.07		5.3	3.28	0.97	4.51	40.78	23.04	0.1	3.76	4.72	0.04	2.38	0.49	13.77	4.08	0.15	39.95	0.14	0.98	0.19	1.12	2.04		7.67	2.91	0.06	0.04	0.03	0.13	36.19	1.16		0.04	0.01	4.1	0.71	1.7	0.15	0.02		3.9	0.12	4.41	0.31	11.34	6.83	0	0	30.59	0.11	2.93	1.1	0.82	0.29	0.85	0.1	0.03	14.5	0.01	0.94	32.3	9.13	0.25	0.72	0.42	20.85	0.1		6.88	2.47	0.59	0.06	0.12	3.97	0.07		0.57	21.23	5.86	41.29	0.27	0.44	0.38		10.93	13.44	14.38	2.36	21.39	2.53	0.46	0.11	1.21	4.76	0.2	0.04	4.39	5.38	0.05	0.01	0.13		2.92	17.39	9.21	0.17	0.09	12.31	1.12	0.06	7.76	0.97	0.12	4.65	1.86	2.8		0.51			0.18	0.06	0	0.34		0.15	39.18		41.49	0.5	0.03	0.04		40	2.52	0.06			3.84	0.67	0.38	1.95	1.43	5.46	14.74	4.07	23.55	0.6	2.7	1.02	0.07	4.4	1.93	2.78	0.29	42.8	0.36	0.49	0.31		6.23	0.05	24.16	5.44	12.61	0.49	0.01	4.12	7.09	0.35	0.01	1.89	0.47	41.43	34	0.12	0.03	2.43	1.5		0.59		1.02	5.81	1.6	2.29	0.05			0.11	0.41	14.94	21.29	0.08	35.85	9.97	0.03	0.54	2.84	0.13	0.06	0.15	0.16				21.6			5.27				11.07																			
		 Fixed broadband subscriptions (per 100 people)																				0.64							0.22								0								1.91																																0.09																1.28		0.03									0.17																																																					0			0		0.61																0.78																													0.01			0.98																																						
	1998																																																																																																																																																																																																																																																							
		 Mobile cellular subscriptions (per 100 people)									0	0.17	0.06	22.13	0.07		2.02	7.4	0.25	6.16	26.17	28.63	0.81	2.78	14.91	0.06	4.52	0.12	17.18	1.57	0.1	20.19	0	2.94	0.69	0.9	4.35		15.49	1.56	0.02	0.01	0.52	0.03	17.74	0.24	13.7	0.05	0	6.4	1.89	4.67	0	0.11		2.9	0.59	4.01	0.04	12.82	9.38	0	0.02	36.44	0.03	0.92	2.49	2.02	0.14	2.33	0.06	0	17.83	0	1	55.23	19.12	0.83	0.44	1.23	16.66	0.23		18.79	1.39	1.04	0.26	0	0.2	0.12		0.58	48.16	10.41	37.84	0.12	0.53	0.61	0	25.52	37.25	36.04	3.1	37.77	1.78	0.2	0.04	0.03	14.52	0.03	0.12	6.94	16.23	0.54	0	0.4	23.27	7.52	30.65	19.61	0.09	0.1	9.84	0.61	0.05	5.58	0.66	0	5.18	3.33	0	36.41	0.38			0.42	0.04	0.02	1.08		0	21.36		20.88	0.37	0.01	0.02		46.67	4.51	0.14			2.93	0.11	4.51	2.95	2.33	5.02	30.08	11.95	30.82	0.17	2.85	0.51	0.07	0.99	1.24	0.69	0.86	18.92	0	3.25	0.29		6.66	0	29.31	8.64	8.13	0.18	0	7.66	16.2	0.94	0.03	1.32	0.46	46.37	23.88	0	0.01	3.25	1.49		0.16		0.13	2.08	0.42	5.72	0.07		0	0.13	0.23	17.91	25.42	0.12	24.89	4.6	0.11	0.12	8.56	0.28	0.1	0.09	0.16				15.91			15.39				23.09																			
		 Fixed telephone subscriptions (per 100 people)									0.15	3.48	4.79	51.64	0.5		45.82	19.65	17.88	40.18	50.76	50.04	8.52	36.52	25.52	0.32	42.59	24.7	47.51	14.43	0.59	86.28	1.96	5.55	9.15	6.03	11.79		24.51	33.92	0.38	0.28	0.21	0.62	64.01	9.39	73.32	0.27	0.11	20.21	6.91	16.51	1.24	0.74		19.79	1.1	34.2	3.5	44.57	36.36	2.23	0.02	65.98	1.13	28.55	9.2	8.23	6.2	6.56	1.15	0.66	35.98	0.26	9.61	55.14	58.15	3.32	2.21	12.93	55.72	0.74		50.8	27.13	4.84	0.18	0.66	8.12	0.78		4.17	56.57	33.29	63.02	2.14	2.74	11.54	2.9	44.06	48.7	45.71	18.26	49.82	11.03	11.95	0.97	3.5	24.81	7.64	0.55	30.74	18.18	1.15	0.25	9.98	61.32	31.27	59.89	41.52	0.32	0.35	19.61	7.63	0.28	47.45	7.21	0.59	21.04	9.86	8.41	95.82	4.39			4.97	0.43	0.48	5.85		0.94	59.52		47.81	2.86	0.18	0.38		55.74	10.13	1.94		5.61	14.28	1.12	5.08	6.17	3.35	22.93	40.27	27.35	44.16	15.57	15.93	19.8	0.15	41.38	26.38	19.5	4.9	73.42	3.17	11.24	1.49		24.07	0.44	47.59	28.59	36.36	2.02	0.33	11.65	41	2.82	0.5	14.83	2.82	72.1	68.66	9.47	3.68	8.27	21.82		0.68		8.76	20.92	8.05	27.41	8.05		6.43	0.25	19.41	33.24	56.09	0.38	64.68	25.02	6.36	2.9	11.04	2.2	1.51	0.81	1.93				44.63			33.47				59.9																			
		 Internet users (per 100 people)										0.07	0.02	6.89	0.02		4.07	0.83	0.13		30.81	15.42	0.04	2.34	3.22	0	1.97	0.07	7.89	2.09	0.05	32.1		0.63	0.14	0.6	1.48		6.28	1.84	0.05	0.02	0.02	0.01	24.9	0.47		0.03	0	1.66	0.17	1.13	0.04	0		2.67	0.06	3.27	0.23	8.89	3.9	0	0	22.67	0.09	2.93	0.23	0.13	0.15	0.43	0.09	0.01	10.8	0.01	0.63	25.45	6.32	0.17	0.21	0.1	9.88	0.03		3.22	1.48	0.47	0.01	0.02	0.26	0.02		0.3	14.55	3.89	36.26	0.14	0.26	0.1		8.1	10.31	4.56	1.98	13.41	1.31	0.13	0.05	0.62	3.05	0.07	0.01	3.32	2.72	0.01	0			1.97	11.75	7	0.06	0.02	6.75	0.57	0.02	6.5		0.04	2.57	1.27	1.86		0.15			0.14	0.02		0.29		0.06	22.24		31.64	0.3	0	0.03		22.56	0.86	0.04			2.75	0.23	0.19	1.19	1.1	4.1	9.87	3.52	6.78	0.26	2.24	0.81	0.01	3.34	1.3	1.85	0.23	1.41	0.3	0.1	0.08		2.53	0.01	19.59	2.69	10.1	0.51	0.01	2.91	4.36	0.3	0	1.67	0.1	33.47	24.8	0.06		1.09	1		0.31		0.77	2.72	0.11	0.7				0.07	0.3	6.91	13.67	0.01	30.09	6.99	0.02	0.27	1.38	0.01	0.02	0.03	0.08				14.65			2.65				9.25																			
		 Fixed broadband subscriptions (per 100 people)																											0.11								0								0.46																																0.02																0.17											0.03																																						0.48																				0.03																0.27																																0.25																																						
	1997																																																																																																																																																																																																																																																							
		 Mobile cellular subscriptions (per 100 people)									0	0.1	0.06	13.45	0.06		1.94	5.63	0.16	3.98	24.66	14.47	0.5	2.16	9.8	0.02	3.03	0.08	9.55	1.16	0.07	16.58	0	1.48	0.25	0	2.73		14.52	0.85	0.01	0.01	0.29	0.03	14.05	0	11.54	0.04	0	2.76	1.05	3.34	0			1.76	0.24	2.62	0.03	10.32	5.1	0	0.02	27.37	0.03	0.79	1.71	1.07	0.1	0.69	0.06	0	10.32	0	0.66	42.07	9.96	0.84	0.42	0.61	9.91	0.12		8.66	0.97	0.61	0.03	0	0.19	0		0.25	34.68	6.84	23.96	0.09	0.46	0.38	0	14.85	29.71	20.63	2.63	30.59	0.99	0.07	0.02	0	12.84	0	0.1	3.17	12.09	0.19	0	0.2		4.61	16	12.83	0.03	0.07	9.17	0.5	0.03	4.41	0.9	0	3.68	1.76	0	23.05	0.09			0.27	0.01	0.02	0.71		0	11		15.09	0.16	0	0.01		38	2.43	0.1			0.82	0.08	1.68	1.7	1.85	2.11	14.8	8.21	15.21	0.05	0.88	0.33	0	0.47	1.06	0.32	0.44	9	0	1.74	0.08		2.91	0	23.23	3.72	4.71	0.17	0	4.28	10.95	0.62	0.01	0.5	0	35.77	14.73	0	0.01	3.66	0.62		0.07		0.12	1.36	0.08	2.67	0.06		0	0.02	0.11	11.86	15.15	0.06	20.14	3.03	0.07	0.12	4.66	0.21	0.08	0.05	0.05				11.6			9.8				14.81																			
		 Fixed telephone subscriptions (per 100 people)									0.15	2.61	4.61	49.9	0.49		42.92	19.13	18.1	38.88	50.37	49.53	8.31	34.21	25.49	0.29	40.99	22.85	46.72	14.04	0.57	83.64	1.23	4.82	8.57	5.16	10.21		24.78	32.7	0.34	0.25	0.18	0.51	62.48	7.96	53.45	0.29	0.1	18.11	5.59	14.23	1.12	0.76		18.72	0.95	32.34	3.36	43.34	31.81	2.25	0.02	63.31	1.2	27.14	8.53	7.63	5.47	6.16	0.81	0.62	33.54	0.26	9.05	55.65	57.69	3.28	2.2	12.52	54.14	0.6		50.13	26.21	4.11	0.24	0.64	7.51	0.74		3.99	56.71	30.02	60.63	1.8	2.49	10.4	3	42.45	47.51	45.17	16.56	52.57	8.88	11.97	0.94	3.16	25.16	7.4	0.48	30.4	18.16	1.13	0.27	8.12	62.26	29.42	60.89	41.16	0.3	0.35	19.37	7.01	0.26	46.59	6.6	0.53	19.29	9.35	7.75	99.87	3.74			4.71	0.39	0.46	5.68		0.65	56.78		47.34	2.53	0.17	0.35		62.88	9.21	1.91		3.89	12.73	1.09	4.34	6.64	2.86	19.53	39.31	26.8	45.16	14.69	14.96	19.08	0.18	39.15	24.5	18.98	4.91	67.16	3.21	9.85	1.26		23.12	0.44	46.12	25.88	35.7	2.03	0.22	10.83	40.03	1.85	0.35	14.27	2.49	70.59	66.12	8.65	3.8	8.02	20.47		0.56		7.56	19.31	7.08	25.8	8.16		5.46	0.24	18.66	32.01	54.64	0.33	63.31	23.27	6.48	2.74	12.18	1.7	1.37	0.83	1.76				41.81			33.54				57.54																			
		 Internet users (per 100 people)										0.05	0.01	3.05	0.01		3.48	0.28	0.11		16.37	9.53	0.03	1.36	1.65	0	0.78	0.05	4.94	1.29	0.02	24.19		0.45	0.06	0.31	0.79		4.83	1.22	0.02	0.01	0.01	0.01	15.07	0.24		0.01	0	1.06	0.03	0.55	0	0		1.64	0.02	1.73	0.07	4.38	2.92	0	0	11.38	0.08		0.14	0.11	0.09	0.26	0.04	0.01	5.71	0	0.22	19.46	4.26	0.05	0.05	0.06	6.71	0.03		1.85	0.99	0.1	0	0.02	0.13			0.17	10.52	1.94	27.48	0.07	0.19	0.05		4.09	4.4	2.28	0.8	9.16	0.6	0.06	0.03		2.17			2.05	1.24	0.01	0			0.98	7.14	2.36	0.01	0	2.31	0.31	0.01	3.92		0	0.48	0.63	0.57		0.11			0.02	0.01		0.06		0.02	14.07		14.6	0.21	0	0.02		20.42	0.44	0.03			0.54	0.1	0.1	0.4	0.14	2.07	4.95	3.08	3.6	0.03	0.45	0.47	0	2.26	0.99	0.93	0.17	1.42		0.05	0.03		1.28	0	13.47	1.17	7.59	0.39	0	1.63	2.8	0.16	0	1	0.09	23.73	15.1	0.03		0.36	0.5		0.21		0.51	1.17	0.04	0.47				0.01	0.2	3.3	7.39	0.01	21.62	3.36	0.01	0.14	0.39	0	0.02	0.01	0.03				7.95			1.33				6.95																			
		 Fixed broadband subscriptions (per 100 people)																																																																																																																																																																																																																																																						
	1996																																																																																																																																																																																																																																																							
		 Mobile cellular subscriptions (per 100 people)									0	0.07	0.04	8.54	0.03		1.85	1.89	0.01	3.61	21.76	7.48	0.22	1.74	6.91	0	2.38	0.06	4.69	1.03	0.04	12.93	0	0.43	0.04	0	1.52		14.39	0.32	0.01	0.01	0.21	0.02	11.82	0		0.03	0	2.18	0.55	1.4	0	0.04		1.3	0.09	1.4	0.02	8.11	1.94	0	0.02	25.06	0.02	0.65	1.02	0.52	0.01	0.4	0.01	0	4.92	0	0.47	29.3	4.23	0.61	0.28	0.05	6.61	0.07		4.94	0.57	0.43	0.01	0	0.16	0		0.04	21.7	4.58	17.33	0.03	0.29	0.1	0	7.93	19.09	11.28	2.2	21.56	0.54	0.06	0.01	0	9.53	0	0.08	1.16	6.45	0.07	0	0		1.41	10.87	11.05	0.02	0.04	7.15	0.01	0.01	3.14	0.71	0	1.82	1.05	0	17.44	0.04			0.16	0	0.02	0.39		0	6.55		13.26	0.11	0	0.01		28.76	0.69	0.05			0.25	0.05	0.67	0.82	1.35	0.56	6.54	5.61	7.08	0.02	0.07	0.15	0	0.69	0.94	0.26	0	8.79	0	1.01	0.02		1.37	0	12.07	0.53	2.07	0.09	0	2.26	7.59	0.39	0.01	0.55	0	28.16	9.39	0	0	3.1	0.05		0		0.31	0.76	0.07	1.36	0		0	0.02	0.06	7.84	12.46	0.03	16.24	2.42	0.04	0.09	2.58	0.09	0.06	0.03	0				7.38			8.85																							
		 Fixed telephone subscriptions (per 100 people)									0.16	1.91	4.28	48.18	0.42		39.86	17.76	18.26	40.36	50	48.71	8.22	31.54	24.91	0.26	36.59	20.95	45.39	13.94	0.53	78.64	1.18	4.47	7.81	4.45	9.19		26.05	32	0.33	0.24	0.14	0.49	60.75	6.17		0.29	0.08	14.67	4.4	12.48	1.04	0.79		14.74	0.89	29.89	3.24	41.95	27.28	2.27	0.08	61.87	1.21	26.34	7.62	6.93	4.87	5.6	0.8	0.54	31.07	0.25	8.92	55.44	56.51	3.16	1.95	11.37	52.88	0.45		49.53	23.91	3.31	0.2	0.68	6.87	0.75		3.32	55	25.65	58.06	1.49	2.12	9.48	3.04	38.2	46.28	44.36	14.38	51.31	7.76	12.51	0.95	2.72	24.72	7.34	0.39	30.07	15	0.9	0.2	7.86	63.66	27.53	59.93	39.85	0.28	0.35	17.74	6.09	0.23	45.3	6.57	0.42	16.1	9.08	7.6	102.29	3.61			4.44	0.37	0.39	5.02		0.53	54.34		46.45	2.34	0.16	0.37		56.64	9.08	1.83		3.06	11.56	0.97	3.59	5.89	2.51	16.98	37.69	26.05	43.61	13.77	13.9	17.47	0.17	36.05	22.68	17.9	4.82	65.84	1.96	9.53	1.06		20.57	0.44	43.77	23.2	33.35	1.95	0.23	10.09	39.01	1.39	0.32	12.87	2.3	68.16	64.75	8.13	4.21	6.98	18.59		0.55		8.09	17.45	6.41	24.03	7.92		5.44	0.22	18.18	29.87	52.74	0.3	61.37	20.6	6.55	2.6	11.82	1.54	1.31	0.86	1.48				37.82			33.72				55.28																			
		 Internet users (per 100 people)										0.03	0	1.53	0		2.86	0.14	0.09	2.77	3.28	6.91	0.01	1.75	0.84		0.39	0.03	2.97	0.88	0	16.2		0.2	0.02	0.16	0.45		3.3	0.73	0	0			6.76			0.01		0.68	0.01	0.33		0		0.84	0.01	0.86	0.03	0.67	1.94		0	5.71	0.03	1.17	0.07	0.09	0.06	0.09		0	3.53	0	0.06	16.78	2.58	0	0.04	0.04	3.05	0.01		1.4	0.3	0.02	0		0.07	0.01		0.04	4.75	0.97	14.81	0.05	0.06	0.02		2.2	2.17	1.02	0.59	4.37	0.04	0.03	0.01		0.86			0.81	0.14	0				0.28	5.55	0.73	0		0.85	0.23	0	1.05	0.04		0.18	0.2	0.28		0.02			0.01	0		0.01		0	9.65		8.04	0.08	0	0.01		18.25	0	0			0.22	0	0.02	0.25	0.06	1.3	2.98	0.93	1.62	0	0.22	0.27	0	1.95	0.67	0.48		1.43		0.03	0.01		0.65	0	8.35	0.78	5.07	0.27	0	0.84	1.33	0.05	0	0.23	0.05	9.04	4.55	0		0.12	0.08		0.01		0.16	0.39	0.03	0.19				0	0.1	0.38	4.12	0	16.42	1.85	0	0.06	0.25	0	0	0.01	0.02				1.8			0.27				4.65																			
		 Fixed broadband subscriptions (per 100 people)																																																																																																																																																																																																																																																						
	1995																																																																																																																																																																																																																																																							
		 Mobile cellular subscriptions (per 100 people)									0	0	0.02	4.42	0.02			1.16	0	2.14	12.37	4.8	0.08	1.46	4.9	0	1.75	0.06	2.32	0.75	0.02	10.3	0	0.09	0	0	0.79		12.16	0.25	0	0.01	0.13	0.02	8.84	0	8	0	0	1.37	0.29	0.75	0	0		0.54	0	0.72	0.02	5.2	0.47	0	0.02	15.71	0	0	0.7	0.48	0.01	0.23	0	0	2.12	0	0.28	20.34	2.25	0.37	0.14	0	4.48	0.04		2.56	0.4	0.3	0.01	0	0.17	0		0	12.99	2.56	11.55	0.01	0.11	0.03	0	4.38	8.35	6.89	1.83	9.41	0.27	0.03	0.01	0	7.41	0	0.03	0.6	3.96	0	0	0		0.41	6.58	9	0.01	0	4.85	0	0	2.73	0.52	0	1.04	0.72	0	9.79	0			0.11	0	0.01	0.21		0	3.5		9.93	0.09	0	0.01		22.51	0.37	0.03			0	0	0.33	0.31	0.71	0.19	3.38	3.69	3.68	0	0.04	0.06	0		0.68	0.2	0	9.11	0	0.09	0		0.07	0	8.79	0.23	1.37	0.06	0	1.29	2.4	0.28	0	0.39	0	22.75	6.37	0	0	2.2	0		0		0.31	0.51	0.04	0.75	0		0	0.01	0.03	5.5	9.89	0.01	12.6	1.24	0.02	0.07	1.83	0.03	0.05	0.02	0				3.68			7.78																							
		 Fixed telephone subscriptions (per 100 people)									0.16	1.26	4.01	46.66	0.44		37.88	16.4	18.08	33.99	49.11	47.55	8.23	29.89	24.99	0.24	34.25	19.32	46.07	13.99	0.47	75.56	1.03	3.23	6.75	3.77	8.19		23.09	30.66	0.3	0.28	0.08	0.47	59.97	5.39	61.28	0.26	0.08	12.59	3.29	10.59	0.94	0.79		13.77	0.81	27.44	3.23	40.61	23.64	2.3	0.09	61.03	1.14	24.94	7.3	6.17	4.44	4.95	0.57	0.51	28.73	0.25	8.35	55.01	55.85	2.96	1.8	10.94	50.51	0.38		48.38	23.14	2.87	0.14	0.65	6.13	0.77		2.88	53.35	20.84	55.59	1.25	1.7	8.42	3.14	36.28	43.94	43.61	11.79	50.04	7.34	12.62	0.94	2.65	24.1	7.77	0.34	28.32	14.8	1.01	0.22	6.7	63.69	25.94	56.22	38.47	0.28	0.34	16.08	5.66	0.19	43.15	6.24	0.4	13.13	9.23	7.33	101.07	3.38			4.2	0.37	0.35	4.75		0.41	52.68		46.77	2.07	0.15	0.37		56.06	7.89	1.68		3.08	11.02	0.93	3.48	4.63	2.03	14.89	36.08	24.48	41.65	13.05	12.92	16.84	0.12	33.6	20.79	16.87	4.58	62.65	1.92	9.26	0.94		17.38	0.42	41.02	20.86	30.87	1.81	0.24	9.66	38.29	1.12	0.25	12.43	2.19	68.12	63.84	6.68	4.54	5.9	17.84		0.51		6.89	16.68	5.81	22.43	7.65		5.46	0.19	16.25	28.65	50.71	0.3	59.57	19.29	6.73	2.51	11.15	1.02	1.24	0.87	1.31				35.12			32.41				54.49																			
		 Internet users (per 100 people)										0.01	0				2.2	0.09	0.05		2.76	1.89	0	0.96	0.35		0.01	0	0.99	0.05		6.84		0.07		0.06	0.11		1.02	0.12		0			4.16		3.95			0.35	0	0.19				0.42	0	0.51	0	0.41	1.45			3.83	0.02	0.55	0.02	0.04	0.03			0	2.78	0	0.01	13.9	1.64		0.01	0.01	1.84	0		0.75	0	0	0					0.04	3.22	0.68	11.22	0.03	0.03	0		1.11	0.93	0.52	0.11	1.59	0.02	0.01	0		0.2				0.07						1.59	0.28			0.15	0		0.22	0			0.1			0.01			0			0.01		0	6.47		4.88	0.03				6.42		0			0.06			0.03	0.03	0.65	1.49	0.19	0.82	0	0.07	0.15			0.31	0.13		1.36		0.01	0			0	2.87	0.52	2.9	0.02	0	0.68	0.38	0.01	0	0.11	0	5.1	3.55	0		0.07	0.04		0		0.12	0.16	0.01	0.08				0	0.04	0.1	1.9		9.24	0.31	0		0.12			0.01	0.01				0.05			0.14				2.8																			
		 Fixed broadband subscriptions (per 100 people)																																																																																																																																																																																																																																																						
	1994																																																																																																																																																																																																																																																							
		 Mobile cellular subscriptions (per 100 people)									0	0	0	1.25	0.02			0.7	0		6.81	3.5	0.01		3.21	0	1.13	0.02	1.26	0.41	0	8.39	0	0.05	0	0	0.36		5.44	0.08	0	0.01	0.1	0.01	6.44	0	6.03	0	0	0.81	0.13	0.24	0	0		0.21	0	0.46	0.01	2.74	0.29	0		9.66	0	0	0.27	0.17	0.01	0.09	0	0	0.94	0	0.14	13.28	1.53	0.25	0.08	0	3.01	0.02		1.45	0.35	0.11	0.01	0	0.17	0		0	8.02	1.38	8.25	0	0.04	0.02	0	2.45	2.58	3.93	1.07	3.49	0.03	0	0.01	0	5.17	0	0.01	0.33	0	0	0	0		0.12	3.2	5.47	0	0	2.83	0	0	1.91	0.55	0	0.51	0.61	0	8.41	0			0.05	0	0	0		0	2.1		6.6	0.05	0	0.01		13.58	0.32	0.02		0	0	0	0.16	0.22	0.25	0.1	1.73	2.33	2.16	0	0.01	0.02	0		0.36	0.14	0	7.48	0	0.09	0		0	0	6.95	0.11	0.82	0.04	0	0.84	1.05	0.16	0	0.32	0	15.71	4.77	0	0	1.26	0		0		0	0.21	0.03	0.3	0		0	0	0.01	4.1	6.81	0	9.1	0.21	0	0.04	1.48	0.02	0.06	0	0				1.73			4.78																							
		 Fixed telephone subscriptions (per 100 people)									0.18	1.23	3.9	45.23	0.45		36.49	14.5	17.85	28.03	49.38	46.51	8.28	28.58	24.74	0.22	32.53	18.49	44.85	13.93	0.41	72.36	0.89	3.25	6.83	3.27	7.7		21.44	29.44	0.27	0.26	0.07	0.43	59.5	4.74	58.59	0.23	0.07	11.17	2.23	9.78	0.94	0.78		12.67	0.75	25.49	3.21	39.46	21.06	2.33	0.09	59.93	1.15	23.4	7.09	5.94	4.08	4.15	0.59	0.45	25.89	0.25	7.77	55.07	54.85	2.98	1.77	10.19	46.89	0.31		47.07	21.13	2.51	0.12	0.62	6.07	0.65		2.4	52.1	17.12	56	1.04	1.29	7.24	3.29	34.57	41.4	43.08	10.27	48.9	7.62	12.62	0.86	2.55	22.62	7.46	0.38	26.42	14.7	0.91	0.22	5.67	61.09	24.59	55.37	37.09	0.26	0.34	14.17	4.96	0.17	41.55	5.88	0.37	11.62	9.08	6.8	100.08	3.03			3.81	0.37	0.31	4.35		0.38	51.31		45.76	1.87	0.14	0.35		55.23	7.48	1.48		3.16	10.64	0.87	3.22	3.29	1.63	13.02	34.57	23.38	39.78	12.51	12.15	16.2	0.17	32.09	17.22	15.88	4.38	56.81	1.92	9.21	0.85		16.31	0.4	39.29	18.76	28.93	1.72	0.24	9.31	37.36	1	0.22	11.78	1.93	67.89	61.17	4.92	4.7	4.7	17.13		0.51		6.75	16.3	5.37	21.2	7.44		5.37	0.15	15.7	27.56	49.03	0.3	57.89	18.19	6.92	2.69	10.79	0.59	1.2	0.93	1.18				33.1			30.9				55.55																			
